_RAJ2000;_DEJ2000;RAJ2000;e_RAJ2000;DEJ2000;e_DEJ2000;Sp;e_Sp;St;e_St;MajAxis;MinAxis;PA;dMajAxis;dMinAxis;dPA;Mosaic;Nm;Xpos;Ypos;MGPS;E
246.7572083;-42.249;16 27 01.73;1.5;-42 14 56.4;1.7;530.5;16.1;847.9;33.7;81.7;60.9;141.6;60.9;21.2;121.4;J1620M44;1;279.4;884.9;J162701-421456;0.0
246.8183333;-42.1160278;16 27 16.40;1.5;-42 06 57.7;1.7;441.3;13.4;647.5;19.7;66.2;64.8;94.2;0.0;0.0;     ;J1620M44;1;263.6;914.8;J162716-420657;0.0
246.88516669999998;-35.624527799999996;16 27 32.44;1.5;-35 37 28.3;1.7;889.9;26.8;985.3;29.7;76.6;55.8;124.2;0.0;0.0;     ;J1630M36;1;868.6;486.9;J162732-353728;1.0
246.9331667;-39.8832222;16 27 43.96;1.5;-39 52 59.6;1.7;2645.0;79.4;2645.0;79.4;70.0;45.0;178.8;0.0;0.0;     ;J1620M40;1;219.6;475.2;J162743-395259;1.0
247.08208330000002;-37.377638899999994;16 28 19.70;1.5;-37 22 39.5;1.7;504.0;15.2;530.4;16.0;76.6;51.4;118.9;0.0;0.0;     ;J1630M36;1;813.7;149.9;J162819-372239;1.0
247.1526667;-54.175638899999996;16 28 36.64;1.5;-54 10 32.3;1.7;446.3;13.5;451.4;13.6;54.3;45.5;85.5;0.0;0.0;     ;J1624M56;1;484.2;1078.4;J162836-541032;0.0
247.229;-61.876444400000004;16 28 54.96;1.5;-61 52 35.2;1.7;863.7;26.0;884.0;26.6;52.0;46.7;110.0;0.0;0.0;     ;J1630M60;1;746.8;79.2;J162854-615235;1.0
247.2403333;-49.6065;16 28 57.68;1.5;-49 36 23.4;1.7;887.4;26.8;1154.2;34.8;61.4;58.6;110.2;0.0;0.0;     ;J1620M48;2;230.0;128.2;J162857-493623;0.0
247.2898333;-61.5621111;16 29 09.56;1.5;-61 33 43.6;1.7;632.8;19.1;632.9;19.1;52.0;45.8;112.2;0.0;0.0;     ;J1630M60;1;737.8;168.3;J162909-613343;1.0
247.736125;-58.0176111;16 30 56.67;1.5;-58 01 03.4;1.7;495.0;14.9;556.1;16.8;52.0;50.7;99.1;0.0;0.0;     ;J1630M60;2;664.1;1172.7;J163056-580103;1.0
