_RAJ2000;_DEJ2000;RAJ2000;e_RAJ2000;DEJ2000;e_DEJ2000;Sp;e_Sp;St;e_St;MajAxis;MinAxis;PA;dMajAxis;dMinAxis;dPA;Mosaic;Nm;Xpos;Ypos
35.576041700000005;-41.9947778;02 22 18.25;1.5;-41 59 41.20;1.7;1642.0;49.3;1702.0;51.1;64.8;46.7;87.8;0.0;0.0;     ;J0220M44;2;564.9;945.4
35.992791700000005;-70.9969722;02 23 58.27;1.5;-70 59 49.10;1.7;1851.0;55.6;1987.0;59.6;48.9;46.8;118.2;0.0;0.0;     ;J0215M72;1;466.1;978.0
36.196208299999995;-69.9087778;02 24 47.09;1.5;-69 54 31.60;1.7;1186.0;35.6;1502.0;54.8;61.5;45.1;6.3;37.8;0.0;  7.8;J0224M68;2;682.9;74.9
36.8342083;-30.630111100000004;02 27 20.21;1.5;-30 37 48.40;1.7;1597.0;48.0;1620.0;48.7;84.9;47.9;110.4;0.0;0.0;     ;J0224M32;1;470.1;611.1
37.355;-52.54025;02 29 25.20;1.5;-52 32 24.90;1.7;2233.0;67.0;2524.0;75.7;59.8;49.6;154.7;0.0;0.0;     ;J0224M52;1;435.3;414.7
37.9614167;-66.4465833;02 31 50.74;1.5;-66 26 47.70;1.7;1990.0;59.7;2109.0;63.3;50.3;46.1;146.3;0.0;0.0;     ;J0224M68;1;448.5;1121.5
38.0622917;-51.454944399999995;02 32 14.95;1.5;-51 27 17.80;1.7;1834.0;55.0;1979.0;59.4;57.1;49.1;75.3;0.0;0.0;     ;J0224M52;1;284.5;691.9
39.08175;-37.7594167;02 36 19.62;1.5;-37 45 33.90;1.7;1364.0;41.0;1376.0;41.3;76.6;49.5;12.6;0.0;0.0;     ;J0242M36;1;1071.9;75.0
40.6515833;-42.0252778;02 42 36.38;1.5;-42 01 31.00;1.7;1946.0;58.4;2303.0;69.1;64.8;59.9;49.9;0.0;0.0;     ;J0240M44;2;546.6;938.4
40.807333299999996;-51.086833299999995;02 43 13.76;1.5;-51 05 12.60;1.7;2232.0;67.0;2265.0;68.0;57.1;45.8;82.5;0.0;0.0;     ;J0248M52;1;950.2;789.9
