_RAJ2000;_DEJ2000;NVSS;RAJ2000;DEJ2000;e_RAJ2000;e_DEJ2000;S1.4;e_S1.4;l_MajAxis;MajAxis;l_MinAxis;MinAxis;f_resFlux
186.26575;12.8764444;122503+125235;12 25 03.78;+12 52 35.2;0.03;0.6;3177.9;108.3;;57.3;;22.3;S*
186.269625;12.895194400000001;122504+125342;12 25 04.71;+12 53 42.7;0.03;0.6;2834.9;96.5;;48.0;;30.8;S*
186.99491669999998;36.586555600000004;122758+363511;12 27 58.78;+36 35 11.6;0.04;0.6;2098.4;63.0;<;16.7;<;15.4;
187.27670830000002;2.0514167000000003;122906+020305;12 29 06.41;+02 03 05.1;0.03;0.6;54991.2;1900.3;;21.5;<;15.9;P*
187.6487083;12.3217222;123035+121918;12 30 35.69;+12 19 18.2;0.03;0.6;2705.3;82.2;;127.3;;83.6;S*
187.665;12.2994722;123039+121758;12 30 39.60;+12 17 58.1;0.03;0.6;2393.3;73.0;;109.9;;80.1;S*
187.70608330000002;12.3893333;123049+122321;12 30 49.46;+12 23 21.6;0.03;0.6;138487.0;4858.7;;48.4;;18.7;P*
190.582;-4.7721389;124219-044619;12 42 19.68;-04 46 19.7;0.03;0.6;3672.1;129.5;;14.7;<;18.1;
190.990125;16.381305599999997;124357+162252;12 43 57.63;+16 22 52.7;0.03;0.6;2895.8;101.8;;15.8;<;16.8;
192.0999167;-19.9885;124823-195918;12 48 23.98;-19 59 18.6;0.03;0.6;5135.7;154.1;<;17.3;<;15.9;P*
193.54866669999998;27.62575;125411+273732;12 54 11.68;+27 37 32.7;0.03;0.6;2923.9;97.7;;31.9;<;18.5;P*
193.65933330000001;-12.555777800000001;125438-123320;12 54 38.24;-12 33 20.8;0.03;0.6;5290.3;162.7;;90.8;;71.1;S*
194.0464583;-5.7889167;125611-054720;12 56 11.15;-05 47 20.1;0.03;0.6;9711.2;291.3;<;16.0;<;14.7;
197.16316669999998;-9.842111099999999;130839-095031;13 08 39.16;-09 50 31.6;0.03;0.6;4244.2;127.3;<;15.8;<;14.7;
197.9137083;-22.2781111;131139-221641;13 11 39.29;-22 16 41.2;0.03;0.6;4093.0;122.8;<;17.7;<;16.6;
200.3285;11.1137222;132118+110649;13 21 18.84;+11 06 49.4;0.03;0.6;2238.0;67.1;<;15.2;<;14.5;
201.5687917;31.902694399999994;132616+315409;13 26 16.51;+31 54 09.7;0.04;0.6;4861.9;145.9;<;17.6;<;16.4;
202.65704169999998;25.153055600000002;133037+250911;13 30 37.69;+25 09 11.0;0.03;0.6;7052.2;211.6;<;16.0;<;15.5;
202.784625;30.509;133108+303032;13 31 08.31;+30 30 32.4;0.03;0.6;14902.7;447.1;<;19.0;<;18.1;
204.4159583;-12.956833300000001;133739-125724;13 37 39.83;-12 57 24.6;0.03;0.6;2676.3;80.3;<;16.5;<;15.8;
204.533625;-6.4531111;133808-062711;13 38 08.07;-06 27 11.2;0.03;0.6;2958.5;88.8;<;18.0;<;14.8;
204.7069583;38.8530833;133849+385111;13 38 49.67;+38 51 11.1;0.04;0.6;3358.9;100.8;<;19.6;<;17.7;
206.88925;12.2900278;134733+121724;13 47 33.42;+12 17 24.1;0.03;0.6;5397.2;161.9;<;18.2;<;17.1;P*
208.0742083;31.446305600000002;135217+312646;13 52 17.81;+31 26 46.7;0.04;0.6;4085.4;144.0;;14.8;<;17.9;P*
209.2562917;1.0776944;135701+010439;13 57 01.51;+01 04 39.7;0.03;0.6;2400.4;79.4;;35.3;<;16.4;P*
209.2682083;19.3189167;135704+191908;13 57 04.37;+19 19 08.1;0.03;0.6;2585.6;88.0;;26.4;<;15.5;P*
214.78408330000002;6.47675;141908+062836;14 19 08.18;+06 28 36.3;0.03;0.6;6100.3;183.0;<;16.4;<;15.6;
215.273875;41.747138899999996;142105+414449;14 21 05.73;+41 44 49.7;0.04;0.6;3146.9;111.2;;13.9;<;18.6;
215.70379169999998;-27.465999999999998;142248-272757;14 22 48.91;-27 27 57.6;0.03;0.6;2268.8;78.3;;22.0;<;16.1;
215.753375;19.5896667;142300+193522;14 23 00.81;+19 35 22.8;0.03;0.6;3247.0;121.0;;31.8;;14.5;S*
216.3714583;-29.9987222;142529-295955;14 25 29.15;-29 59 55.4;0.03;0.6;2402.0;84.6;;15.0;<;18.9;P*
217.13008330000002;-1.4024166999999998;142831-012408;14 28 31.22;-01 24 08.7;0.03;0.6;3157.4;94.7;<;16.7;<;13.9;P*
219.2377917;3.4034167;143657+032412;14 36 57.07;+03 24 12.3;0.03;0.6;2797.3;83.9;<;17.9;<;15.7;
221.3186667;9.976666699999999;144516+095836;14 45 16.48;+09 58 36.0;0.03;0.6;2417.6;72.5;<;19.4;<;18.3;P*
223.98008330000002;-11.149638900000001;145555-110858;14 55 55.22;-11 08 58.7;0.03;0.6;4249.9;140.3;;36.0;<;17.3;P*
225.3950833;-39.3101389;150134-391836;15 01 34.82;-39 18 36.5;0.04;0.6;2937.7;103.5;;15.0;<;17.9;
226.24345830000001;26.0258056;150458+260132;15 04 58.43;+26 01 32.9;0.03;0.6;3353.8;101.4;;127.4;;107.9;P*
226.24575;25.9969444;150458+255949;15 04 58.98;+25 59 49.0;0.03;0.6;3201.6;98.7;;84.5;;71.8;P*
226.77;-16.8750556;150704-165230;15 07 04.80;-16 52 30.2;0.03;0.6;2711.0;81.3;<;17.4;<;14.9;
227.723125;-5.7186389;151053-054307;15 10 53.55;-05 43 07.1;0.03;0.6;3569.3;107.1;<;18.1;<;17.1;
227.737625;7.856888900000001;151057+075124;15 10 57.03;+07 51 24.8;0.03;0.6;2258.8;77.5;;23.7;<;17.2;S*
228.105625;1.3524167;151225+012108;15 12 25.35;+01 21 08.7;0.03;0.6;2262.7;67.9;<;19.8;<;17.4;P*
228.2105833;-9.10025;151250-090600;15 12 50.54;-09 06 00.9;0.03;0.6;2700.9;81.0;<;15.8;<;15.2;
228.41625;26.126027800000003;151339+260733;15 13 39.90;+26 07 33.7;0.03;0.6;3594.2;112.7;;106.4;;40.0;S*
229.18575;7.0216944;151644+070118;15 16 44.58;+07 01 18.1;0.03;0.6;5499.3;209.1;;25.2;;15.5;S*
230.0229167;20.26825;152005+201605;15 20 05.50;+20 16 05.7;0.03;0.6;2688.0;80.6;<;18.0;<;17.0;
230.31045830000002;4.5055556;152114+043020;15 21 14.51;+04 30 20.0;0.03;0.6;3927.2;117.8;<;19.0;<;15.5;S*
231.7477083;-13.850194400000001;152659-135100;15 26 59.45;-13 51 00.7;0.03;0.6;2865.5;100.8;;15.6;<;17.5;P*
232.9612917;24.0453611;153150+240243;15 31 50.71;+24 02 43.3;0.03;0.6;2892.3;101.7;;15.9;<;16.6;
235.12675;-5.0548333;154030-050317;15 40 30.42;-05 03 17.4;0.03;0.6;2116.1;65.1;;81.7;;80.4;
